Text,LABEL,Category
"@dil k alfaaz are oh Bhai National level ke Nay Nay player har saal teyar hote hai.
Junior ko mauka Dena band kar de kya???
Mtlb tumhe sirf itna samgh nahi aa raha hai kya ki games me sab barabar ho kar khelne chaiye.
Or inke level ke or bhi kai pahalwan hai to sirf chhut sirf inko hi kyon???",Normal Text,None
"​@sunil rehniwalfir khul kar kyoki nahi kaha inhone ki hume trail me special treatment nahi chaiye.

Khud se mana kar dena chaiye tha ki hume trail me chhut nahi chaiye.

Jabki inke phle ke interview me inhone saaf kaha hua hai ki trail na karaye jaye humse itne",Normal Text,None
Farzi case... Aaj kal adhiktar mahila fake case lagane me expert ho gyi hai..,Hate Speech,Gender-Based Hate
Trial me chhut chaiye thi isliye hi Dharma tha or govt ne ye demand poori kar di hai inki.,Normal Text,None
Bhai unko trail me chut mil gai hai Unko yahi chahiye tha,Normal Text,None
Muhammad ne safiya ke sath kya kiya???,Normal Text,None
kaash sare puncture putro ki freedom of speech k naam p propaganda failane ki azaadi bhi khatam kr de BJP.,Hate Speech,Political Hate
Pahalwano Dharna khatam mat karo Lund Namaziyo ko bahut ummid hai tumse Kahi Dukh me Lund Namazi Puri Lulli hi Naa kaat le 😀😀,Normal Text,None
​@Chaudhary MitulAgar aarop sachche hote toh voh ladai krti lekin isko piche se paise khilwae the abhi pta chl gya he,Normal Text,None
Oh 😂😂 andhbhagat 🤣🤣 sarkar bjp ki pais congress paisa dengi ed cbi kha gayi fir 🤣🤣,Hate Speech,Political Hate
Kya evidence hai tumare pass 😂,Hate Speech,Violent Speech
Mudi hai toh mumkin hai 😊😊,Normal Text,None
"Dub maro jaato 😢😢.
Tumse tumare ladkiya nhi bchaii gyi. Aur din bhar jat jat krke aapas m bhidte rehte ho.
Tumse dilli na gheri gayi. Warna wo brjjbhusan.
Aaj jaat pichde they aur ab bi h ye sabit karwa hi dia tumne gadiye k piche jat likhwane se bahaduri na hoya kare.
Ab thukegi tumpe duniya.. Chori tumari ijjat lutwa ri th. Tmpe kim bi nhh paad ppaey tmm",Hate Speech,Caste-Based Hate
Dhamki mili pahalwano ko aur sab manage kr liya gaya. Ab kuch nhi hone wala sab bhul jayenge dhire dhire.,Normal Text,None
Jaato pr ye boj rhega ki vo apni hi vyavstha se nyay nhi le paaye... Kya fayda jat jat chillane ka jb hum nyaye hi nhi dila pa rhe...,Hate Speech,Caste-Based Hate
Pahlwan jante h kuch nhi kr payenge uska,Normal Text,None
Logo ko ullu bana ke ye sab mahanubhav chal diye apne kaam pr,Normal Text,None
"Ye Bhabhita Fogat naam ki mahila ko Brijh Bhushan se shayd maza nahi aya tha 😂😂😂😂
#shaheenbaghprotest yaad aaya hogha inn behen ke lowde Strike karne waale so called sympathy gainer 😂😂😂",Hate Speech,Gender-Based Hate
"bina trial khele sirf ek boyt ke baad Okympic jaane ka mauka mil gaya  Yehi to chahte the ye besharm anpad jaahil jaat pehelwan haryana ke.  
Sahi me besharmi karo to aisi. 
Thoo bai inpe aur inke jaiso pe. Kabhi nhi sudharenge ye. Inki soch me ki chotapan hai.",Hate Speech,Caste-Based Hate
"Ye sb drama kr rahe the, inko bs chhut chahiye tha qualifying round se, that's it.",Normal Text,None
Trail se chut mil gyi inko lalchi ghtiya..trail k liye kuch b kr skti h ye,Normal Text,None
Mujhe cricket khelna hai chalo jantar mantar,Normal Text,None
"Saale Teri aukaat kya hai,,, unhone olympic mai medal Jeeta hai,, tu district mai bhi Jeet ke bta de,, baat ke kra hai, pagal",Normal Text,None
Doshi to sarkar dwara bachaye jaa rhe h to kaise doshi bn skte h.... Padhe likhe........ 😂,Hate Speech,Political Hate
Muje doubt h kyoki ye andolan kahi se lg nahi raha tha.,Normal Text,None
Sab propogenda faila rahi hai hai…jab inke sath hua tab complaint nhi ki ab yaha tamasha kar rahi hai,Normal Text,None
Amit shah se meeting ke baad kuch to hua hai🧐,Normal Text,None
Ye 6 pahalwan Bhasma-sur hai ....junior ke right khaa rahe hai.,Normal Text,None
​@Chaudhary Mitulor chalo dala to ye ho gaya to fir ye bhi bada do ki dalli kon hue apke hisab se ???,Normal Text,None
"​@Chaudhary Mitulor ese to Brij Bhushan 6 baar election jeeta hua hai fir to Brij Bhushan acha banda ho gaya agar Election ke basis par person ko dekh rahe ho to.
Or ese hi Atiq bhi acha banda ho gaya agar election me jeetne ke purpose se dekh rahe ho to.",Normal Text,None
"​@Chaudhary Mitulkyon Bhai ese word kyon uske liye ??? Kya usne desh ke liye medal nahi jeete kya??
Ya fir sab kuch yahi hai apke liye Jo andolan me bethe the???",Normal Text,None
Dalla 😂😂 nambar 1 hai yogeshwer 2 baar bjp se lad ke har gaya 3 baar harenga,Hate Speech,Political Hate
"@dil k alfaaz are oh Bhai National level ke Nay Nay player har saal teyar hote hai.
Junior ko mauka Dena band kar de kya???
Mtlb tumhe sirf itna samgh nahi aa raha hai kya ki games me sab barabar ho kar khelne chaiye.
Or inke level ke or bhi kai pahalwan hai to sirf chhut sirf inko hi kyon???",Normal Text,None
"​@sunil rehniwalfir khul kar kyoki nahi kaha inhone ki hume trail me special treatment nahi chaiye.

Khud se mana kar dena chaiye tha ki hume trail me chhut nahi chaiye.

Jabki inke phle ke interview me inhone saaf kaha hua hai ki trail na karaye jaye humse itne",Normal Text,None
Farzi case... Aaj kal adhiktar mahila fake case lagane me expert ho gyi hai..,Hate Speech,Gender-Based Hate
Trial me chhut chaiye thi isliye hi Dharma tha or govt ne ye demand poori kar di hai inki.,Normal Text,None
Bhai unko trail me chut mil gai hai Unko yahi chahiye tha,Normal Text,None
Muhammad ne safiya ke sath kya kiya???,Normal Text,None
kaash sare puncture putro ki freedom of speech k naam p propaganda failane ki azaadi bhi khatam kr de BJP.,Hate Speech,Political Hate
Pahalwano Dharna khatam mat karo Lund Namaziyo ko bahut ummid hai tumse Kahi Dukh me Lund Namazi Puri Lulli hi Naa kaat le 😀😀,Normal Text,None
​@Chaudhary MitulAgar aarop sachche hote toh voh ladai krti lekin isko piche se paise khilwae the abhi pta chl gya he,Normal Text,None
Oh 😂😂 andhbhagat 🤣🤣 sarkar bjp ki pais congress paisa dengi ed cbi kha gayi fir 🤣🤣,Hate Speech,Political Hate
Kya evidence hai tumare pass 😂,Hate Speech,Violent Speech
Mudi hai toh mumkin hai 😊😊,Normal Text,None
Yelog pura duniya me india ka naam roushan kiya h  or inlogo k sath aysa bartao wo v khud k izzat ko surakshit rakhne k liye ye log utre the but chiiii is sarkar ko.,Hate Speech,Political Hate
Bc fuddu police punhab ayo tuanu dsde aa kida hath payida saleo kudi nl jyadti krde fuddu govt,Normal Text,None
I am very shameful to see this video Jo women and men wrestler Hamare Desh Ke Liye Olympic gold medal Jeet ke a rahe hain unke Sath Itna bura ho raha hai unhone Olympic medal jitne Hamara Desh Ka Naam Roshan Kiya Ham unke Sath Aisa kar rahe hain shameful to see this video very very simple,Hate Speech,Violent Speech
Is topic ko aaise ignore Kiya jaraha hai jasie kuch huva he nahi  !,Normal Text,None
Chandra shekhar ko pm banao tab sab badlega,Normal Text,None
First time modi per gussa aarha h ....buddya nikal rhi h ......inka bhi nash hoga ek din....bhagwan shukh dete hain Paisa dete hain lekin Jo iski kadar nhi krta usse bhot jaldi uski aaoukat bhi dikha dete hain.....,Hate Speech,Religious Hate
"Shaheen bag ke waqt hans rahe the aur aaj ro rahe ho.
Waqt sab ka aata hai",Normal Text,None
"Desh ki shan hai khiladi par modi ji  ko apani  garaj ke hisab se baat karni hai 
....
Ye hi khiladi hai jo medal laye the tb modi ji Bolte  ye to meri femily hai par aaj duniya me jitna desh ka naam ho raha hai utna hi kharab  .


......


Plzzz shopport our chempiyans 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏",Hate Speech,Political Hate
This is india i mean randistan Salo dosro ky desh mein bolny sy phly Aurat ke ezat krna sekho bsdk lant aise government py,Hate Speech,Gender-Based Hate
Kitni sharam ki baat hai bhai,Normal Text,None
Ye hai bjp ki sarkar hmare desh ke wrestlers ko kaise gasita ja rha h 😓😓😓,Hate Speech,Political Hate
A sahi trika hai femus hone ka.aur bina trial diye olampike khelne ka.,Normal Text,None
Its india no matter who you are 😢,Normal Text,None
BJP hai to mumkin hai😂😂😂😂,Hate Speech,Political Hate
Ab sach m lag rha h Bharat m mahilao ki respect nhi hoti.  In respected wrestler ne hamare desh k liye mehnat kar k gold laye h please respect 🙏🙏🙏,Hate Speech,Gender-Based Hate
Olympic medal jeeta iska matlab ye nhi ki logo ko manipulate karke politics mei enter kar le,Normal Text,None
Desh khatre mein hai,Normal Text,None
Wow itne police protest ko rok rahe hai itne log kaha the jab khule aam madar huya shakshi ka,Normal Text,None
Ye indian kuttun ki okaat hy jo larki k rights ki batain krte hn,Normal Text,None
Ek tharaf hamari new parliament ka shubh aarambh hua ha bahi ye hamare des ke world most precious sports players ke satha kya ho rha ha bahi yha ek agar tik tok ya reel walae star hote to sab apni story or bhi bohot kuch karte but abhi nhi kaenge,Hate Speech,Violent Speech
Khud apni bezati karane pe lagi hai...unko khud uth le chalna chahiye tha aur akad ke bolna tha ki don't u dare to touch us.....to kisi ki himaat na hoti ghaseetne ki..😑,Normal Text,None
Desh Ki Beti Hoon ke sath kya ho raha hai BJP ke Raj mein😔😰😥😢😭,Hate Speech,Political Hate
"Chaar gali likkne ka mann kr rha hai police walon ko,  shame on Delhi police & BJP govt,  2024 me dekhte hai kaise tmhari jeet hogi..🤬",Hate Speech,Political Hate
wa kya beti bachau seen hai agar me hota na waha pe to me in dalali police ko hi mar ta aur sikha ta ki tere ko desh jaanta ko rakhsa kar ne ke liye bana ya ye bardi kyu diya hai,Hate Speech,Violent Speech
Ye sb ho kyaa rha h muje to smjh ni aaya😑,Normal Text,None
Gheen aa Rahi hai mujhe aisi sarkar se ye sarkar kisi ki nhi mujhe lagta tha ye sirf musalmano ka dushman hai bt Aisa nhi hai ye sirf apna fayda sochte hain or baki logo me khoon kharab chahte hain,Hate Speech,Political Hate
Thu thu thu hai in sab par aisi ghatiya sarkar par ab dar lgne lga hai ki is darti par  surakshit bhi hai ki nhi hum log jb inka ye haal hai jinone apna jivan desh ko de diya to hum jaise aam logo ka kya hoga bhagwan  yhi samya hai aavtar lo darti par aur ktm kardo ye buraai,Hate Speech,Religious Hate
Sarkar pe dikkar hai yar gold medal  ke sath aisa ho raha ... yar sarkr baith kar bat q nhi karti agar sahi hai to sarkar q bag rahi hai gin aati aaise sarkar aise  kanun pe,Hate Speech,Political Hate
kahan hai modi dalaal hai tu bolta hai bate pado bate bcho yeh kya hai thats how we treat our champion well done that's  what new india is every parties are fucked up shame on india it a suffocation  to live in such place,Hate Speech,Political Hate
Sabr rak....sab thik hoga... Dek lena..,Normal Text,None
Sab dikhava hai itni charbi chadi hai pahalvan banne ki to jao pakisatan bordar par atankvadiyo ko maro tab mane desh ka naam roshna kiya,Hate Speech,Violent Speech
Abe yea toh kuch bhi nahi 😂 bjp ka neta apne phone ko retrieve krne ke liya dam se pura pani nikal deta he 😂🤣,Hate Speech,Political Hate
"Krdo Raam ko bhi badnam. 
Ye rss aur bjp ek din kutte ki maut maregi.
Aur kha ram 👆  ko itni dirty politics se mt match kro .
Ye chilla k jai shree ram bolte h aur 
Yei hijde darbaar me biryaani khate h .
🤮 aiso ko shaitaan bhi bhagat na bnae.
Jo sbse bade 🥩 beef factory 🏭 h 
Wo bhi jai shree Raam wale ..
But ..
.......  spiritually is 🙌🙌 most divine 
My father is Krishna......my father is ram",Hate Speech,Political Hate
POGHAT sisters ka PLAN POPAT hogaya ...FAKE EVIDENCE ...Tote ki tarah sara plan Ugaldiya...Sabkuch POGHAT family ka plan tha...Ab hogaya flop,Normal Text,None
Ab kahan gaye vo Delhi ki tarif krne wale?,Normal Text,None
Delhi hai hi aisi jagah waha na humesha ladkiyon ke sth hi nahi ladko ke sth bhi glt hone ki khabar ati rhti hai no one is safe thr,Hate Speech,Gender-Based Hate
"Sharm karo modi ki maa ,aapne mauga ko paida kiya hai",Hate Speech,Political Hate
Police wale ka bhi zameer mar gaya hai,Hate Speech,Violent Speech
Kya ho gya is deshavaasiyon ka 😢 ?,Normal Text,None
Bhai isiliye indai ke pass itne jyada medals h,Normal Text,None
MC hai modi sala bas tax laga rha Hindu Muslim me ladai krva rha hai andar se bharat ko khokla kr rha,Hate Speech,Religious Hate
"Kitna paisa khaya hai, rapist ki ga*nd chatne ka",Normal Text,None
Abbe hindi bol na nahi aata hai kay,Normal Text,None
Tum lok India ke ho ya Pakistan ki ukrean me fight ke time p jo bharat ke jhanda lekhe rahega aur bharatiye bol3ge unko sahidhilamat Ghar pe chod Diya jayega bol rahe the lekin ye hamare desh me hi Jo bharat ke jhande pakde hue hai unko aise bhlyabhahar mereko tho thik Nehi lagta upar se ye log international level pe bhart ko represent karte hai dhik hai tumhare jiban par dilhi police. U don't have humanity and at last I want to say best of luck keep it up and aise hi karte raho police is for people is proven wrong by you u all are for the politicians and the rich mans others always get punished by you chi chi.,Hate Speech,Violent Speech
Aaj agr Ghandhi ji zinda hote aur yh dekhte to unhe bda afsos hota ki jis desh ki san maan ko unhone apne khoon se banaya ....aj usi bharat mata ke desh me usi ke bacchi ke sath asa ho rha h....bhagavan un delhi police ki atama ko kbhi santi .mt de,Hate Speech,Violent Speech
Cm se pm tak sab harami hai,Hate Speech,Abusive/Profane Speech
Ye bahut kharab bat hai. Apradhi ko bachane ke liye Apne India ke players ko sata rahe hai. Unhe nyay dene ke badale yeh saja. Galat bat hau,Normal Text,None
Bhaisaab ladies police bhi nhi he unka to touch karne ka bhi hak nhi he lekin ye to bahut galat ho raha he 😮,Normal Text,None
Aaj mai bahut dukhi hu ye dekh ke ki jo. Log desh ka name roshan kiye bahar jaker unke sath aisa ho raha hai 😥😥😥😥 jo log power mai plz enka shath digiye enke shath aisa nahi hona chahiye plz,Normal Text,None
😥😥😥😥😥😥😥aisa mat karo aap log ye woman's ke  liye hi lad  rahi hai koe aap log bhi beti hai kisi ki plz aisa mat kariye,Normal Text,None
Life me des ke liye kuch karane pahele sochana padega,Normal Text,None
Shame on Delhi police for treating them this way.. They are not criminals itna strict criminals k sath hote toh better hota humare lye.. Kitni aawazein daboge aur kab tak.. Ek ko uthane k lye 8-10 log laga rakhe hain chhiii.. Force itni rapist ko utha kr jail mein daalne mein laga dete.. Sportsman hain they deserve respect... 😑😕,Hate Speech,Violent Speech
Pura desh sirf hindu muslim krte raho inki taraf dhyan mt do koi,Hate Speech,Religious Hate
Aise bachate hai betiyo ko pm ji.          Beti bachao beti padao all was useless Modi ji,Hate Speech,Political Hate
Mujhe lagta ha yeh sports person bhi khalistani ha  hme toh terrorist bana diya jab punjab k log protest karne aae the .  Hindu sach me khatre me ha.🙏🙏,Hate Speech,Religious Hate
Jaise chintiyan apna bhojan leke jaari hoti hain😁😂,Normal Text,None
BJP andhvatkt avi khush ho vai....dekho desh ko kaha khara kar diye tum log,Hate Speech,Political Hate
Chinta mat karo yeh din  uska bhi ayegaaa,Normal Text,None
BJP ne aplya matichi ...aplya deshachi vat lavayla suruwat Keliye..shame on BJP and Delhi police.. shame on you...,Hate Speech,Political Hate
Sports man Jo Desh ke liye medal late hai unse aise behave aise karoge to medal layenge kuch nahi  leke aayenge 👿👿👿👿👿,Normal Text,None
Dande Lagane Chahiye the Bina Permission ke protest Karoge to yahi hoga 😂🤣🤡,Normal Text,None
What govt is doing don't know aise case me govt gayab hi ho jati hai,Normal Text,None
Modi ka time pura ho gya hai use ab Jana hoga....,Hate Speech,Political Hate
"Desh ke liye medal laneke baadbhi ye milta hai kya?  
Congratulations champions for the treatment ! 
Lwogeeee ab medal India keliye?",Normal Text,None
Shame on modi desh me jha bhi BJP ki sarkar hai vha gribo girls ladies aur km smzne wali jat dharm k logo k sath aise hi bura brtav hota hai unka shoshn kiya jata hai aise me BJP k neta gunge behre  ho jate hai kisi dhongi sadhu ya neta pr jb bat aati hai to sb bhaukne lgte hai,Hate Speech,Political Hate
Koi mard nahi he kya dilli me itne din se ek atankwadi ko nahi pakar paye wo v brizbhushan jese,Hate Speech,Gender-Based Hate
"Welcome to india under Modi. Where criminals roam free and the victim behind bars. Where corruption are encouraged and honest, faithful working people are put behind bars. Now treating champions who brought medals for india, who uplifted india in the face of world sports, who sacrificed so much n at the end harassed and dragged like this is such a shame. Shame on you Modi for allowing this to happen to our champions, shame on you for failing in manipur, shame on you for destroying india.. Step down... How could you do this to our country's pride, the champions.. They deserve to be treated with respect.. Oh why don't you step into the mat with them? Only than u will know how hard they worked for india unlike u.",Hate Speech,Political Hate
Kya ho rha hai yr ye,Normal Text,None
Gussa araha hai andar se 😢,Normal Text,None
Agar inke saath aisa bhi ho sakta hai to hum to hai hi kon😢😢,Normal Text,None
Sab kuch bahut galat ho rha hai,Normal Text,None
"If we sit on road for justice.... Then what is the propose of court, lawer, judiciary... These systems must shut down... Now we make protest on roads for justice..

Before they struggle for Indias supremacy .... Now they struggle for Indias defamation... #toolkit",Normal Text,None
I heat my country. India hai hai.BJP hai hai😭😭😭,Hate Speech,Political Hate
Court me jawo didi raste pe baith k kya hoga,Normal Text,None
"wrestler aur brijbhusan dono chizon ko kharab karre hai.. seriously aur isko gandha karri hai congress
1-wrestler ki demand thi bhushan ko presidency se hatao jiske liye committee bani jisme marry com,PT Usha an all ki committee vo ispe investigate kar rahi thi
2- deman change huyi ki isko jail me dalo inhone inhone n charge sheet lagai 154 crpc ye direct supreme court gaye court bola apko 154 lagana padega then inhone 154 lagayi uske baad inka kehna hai jaldi se jaldi isko saja
 it's a serious alligation aur investigation ke 90 days ka period hota hai to inko ruka nhi jara 
3- fir inhone political party ki aur andolan jeevi ko vaha gandagi machane deliya
  
ON THE OTHER SIDE
wrestling federation ka  President maximum 12 saal tk reh skta to brijbhushan ka to vo period over ho gya 

dusra sab khichadi bana rakhi jiska fayada ye vultures utha rahe 
agr galat huya hai to wrestlers ko justice milna chahiye aur wrestlers ko bhi ye political stunt nhi karna chahiye",Hate Speech,Political Hate
Modi bhagata ne hje v modi modi kri jana.....,Hate Speech,Political Hate
Police awle kese hain Jo apne baap ke sath asa bartav karta h,Normal Text,None
"Meanwhile neeraj chopra sir be like : inko lardne do bhai ,,mai agle Olympics ki  tayaari krta 👍",Normal Text,None
Hai hai Bjp sarkar,Hate Speech,Political Hate
"kaahe k pahalwaan bhai 
kyo itna nanga nach ncha rkha h 
Brijbhushan Nirdosh h",Normal Text,None
Modi ji... Yahi hai kya ache din? .. Please do something 🙏🏼,Hate Speech,Political Hate
Meri ma ki mati khabi jut nahi bolenge.😢,Normal Text,None
Are sharm kro BC police walo humare Desh ke support player h vo chutiya logo mana apni duty kre ho pr tumko saath dena chayiye Inka ulta Inka saath dena chahiye jo tum inko ghaseet rhe ho BC pgl ho kya,Hate Speech,Violent Speech
"Gunda  agar dusri party ka ho to bjp ko wo hazam nhi hota air uspar action le te hai aur bjp apni party mai gundo ko pal rahi hai aur unko protect kar rahi hai 
Shame on bjp",Hate Speech,Political Hate
Satte cha maj janata utare modi sarakar,Hate Speech,Political Hate
"Inlog ne murder Kiya hai ky 
Modi jii 🙏🙏🙏",Hate Speech,Political Hate
Lion ... Loin hota hai,Normal Text,None
I love BJP but iss baar thuu hai,Hate Speech,Political Hate
A news koi tv news wala nahi dikya ..,Normal Text,None
"Wah kya din dikhadiye Modiji aapane toh, yahi neta agar congress ka hota toh, wrestlers agar commisioner ya neta ki beti hoti toh...naye Sansad ka inauguration jindagi bhar nahi bhulenge hum Bhartiya.",Hate Speech,Political Hate
"Ein jaise police karamchariyon ki fitrat hoti hai badmashi karne ki ! Kal raat Lucknow mein mujhe sirf der raat apne ghar ki taraf jaate samay do bike patrol beat constables ne rok liya aur sandigdh suchi mein naam, pataa aur phone number likh liya, Ye hai YOGI ADITYANATH ka BJP Sushasan ! Jab wrestlers se misbehave kar sakte hain BJP sanchalit Delhi Police tab aam insaanon se too kya hee aise Police karmi ache se pesh ayenge ?!  Ek baar janta ki ankhon se BJP bhakti ki patti utar jaaye, Phir dekho kya haal karte hain ! Har Har Mahadev 🙏 , Lal Salaam 📣 !!",Hate Speech,Caste-Based Hate
Muje lagta he  indian police and government  se achha Pakistan.... Bharat ajj dikh rhaa he jo medal dhari he uske samne e lukhe police sarkar usse daboch rahi he.... Wah,Hate Speech,Political Hate
Koi bhi desh apne mahaan khilaadiyo ka itna anaadar nahi karta😢. Andhbhakto ko badhaai is  kaam ke liye😢.,Hate Speech,Political Hate
Wse to 1 wrestler itne police walo k control me nhi aa rhi n wse 1 aadmi ne in sabka rape kr diya,Normal Text,None
Ensaf hona chahiye sister log k sath,Normal Text,None
"Narendra modi jindabad tha, hain aur rahega😂😂🤣BS",Hate Speech,Political Hate
"Delhi ka CM kaha haa abhi, chunab ke phele too media samne akhe botle haa kii vote dee doo abhi kya haa kyu kuch nehi bol raha😢😢",Normal Text,None
Ye bjp haa bhai logo yha sab kuch jaij haa galat ho ya sahi,Hate Speech,Political Hate
Toda toh respect kardo,Hate Speech,Violent Speech
"Abe wrestler ho toh kya sale kuch bhi karoge No enter Zone mein protest karoge chutiyapa ka bhi haad hota hai, India gate hai, bhaut sari public area hai tum log Ab medal kyn nhi fank rahe ho, BC Faltu ka Darma, Ab kal ko BC gun leke chalane lag jao ge aur chahte ho Police kuch na kare, Rules and regulations bhi hote hai sala ajeeb chutiya log hai. Jab harassed hue tab nhi bola gaya, 5-6 mahine baad yaad aya ? Bhai sab dikh raha hai Politics hai ye sab.

Edit: Parliament is not allowed for normal people to enter only authorised people can enter, and I can't believe in comments section people are so Illiterate they're actually supporting this bullishit, police should have arrested them.",Hate Speech,Abusive/Profane Speech
"Exactly bhai, they're entering a place where normal people are not allowed, and so many illiterate people are supporting this bullishit.",Normal Text,None
Court apne hisab se chalege,Normal Text,None
Desh ka MAN BADHANE VALE SPORTSMAN'S KE SATH AAISA KARNA BAHUT KYADA DUKHD AUR GALAT HAI VO DESH KE LIYE MEDAL LATE HAI BAHUT KUCH SACRIFICE KARTE HAI UNKE SATH AAISA BARTAV KARNA BAHUT GALAT HAI🤬🤬🤬🤬😡😡😡😡😡😡😡😡😡😡😡,Normal Text,None
Chutiya sehar ki chutiya public kabhi metro me to kabhi kahi lekin fir bhi unhe koi matlab nhi sala isse to accha mera village hai❤❤,Hate Speech,Abusive/Profane Speech
Pucho is se isko Keya chahiye mahamari faili padi hai Keya hasil karna chahti hai kisi ko kuch nahi hasil Ak 🔱,Hate Speech,Violent Speech
"Isliye talented log india chhod jaa rhe hai kuonki indua ko talent ki kadar nahi
Bitter truth😢😢😢😢",Normal Text,None
Ye police ayse q kar rhi h,Normal Text,None
Wrestking match,Normal Text,None
KAHAN HAI AMIR KHAN .KAHAN HAI SACHIN .KAHAN HAI AMITAB BACHAN ..KAHAN HAI AKSHAY KUMAR..KAHAN HAI SAB ..SUPERSTAR .,Hate Speech,Violent Speech
"Agar koi minister protest krta, kya usko kabhi aise utha kar le jate, shame on authorities",Normal Text,None
Bahoot ho gaya abb Saha nai jata government agar Aisa kar skti hai to BC nahi chiye aisi government 😡😡😡,Normal Text,None
SHARAM AATI HAI MUJEH THAT I HAVE TO SEE THIS INDIA IS DESTROYED BY BJP PARTY,Hate Speech,Political Hate
Bahut galat hai modi jee sare achhaye ab kharab ho gaye,Hate Speech,Political Hate
Itni Sena Desh wasiyon pe zulm kar rahi hai aur phir bhi India sirf dekh Raha hai ....,Normal Text,None
"Study karoge to Noukri Khatreme 
Achaa kuch karoge to life khatreme 
Phir bhi dil hai Hindustani 
Phir bhi Dil hai Hindustani",Hate Speech,Religious Hate
Ye insan hain ya janwar...humare champions ki itni durdasha..pm modi abhi kr kya raha hain,Hate Speech,Political Hate
Narendra Modi sarm kro,Hate Speech,Political Hate
"SAB LOG DEKHO AUR SIKHO....
AB NARENDRA MODI KO BHAGAO",Hate Speech,Political Hate
"INDIA Ke asse growth hogi tho naa  he ho,ladkiyo keliye kaha par bhee rahana easy nahi he.shame on Indian goverment.",Hate Speech,Gender-Based Hate
Badhya natak chal raha hai.,Normal Text,None
Kl ko inke sath ek photo k liye line mei khade hote the aj Inka saath aesa ho Raha hai bhot afsos hora hai,Normal Text,None
Bjp sarkar nikalo,Hate Speech,Political Hate
Kha gya mere desh ka issjat samra  kro,Normal Text,None
"😠😠😠so how treat a sportsman, they fight for our country they struggle for our country, maidan main khun pasina ek krte hai 
So this is india",Normal Text,None
