,Comment
64,"Ye Bhabhita Fogat naam ki mahila ko Brijh Bhushan se shayd maza nahi aya tha 😂😂😂😂
#shaheenbaghprotest yaad aaya hogha inn behen ke lowde Strike karne waale so called sympathy gainer 😂😂😂"
65,इनके विरुद्ध तो सख्त एक्शन लेना चाहिए था।
66,"bina trial khele sirf ek boyt ke baad Okympic jaane ka mauka mil gaya  Yehi to chahte the ye besharm anpad jaahil jaat pehelwan haryana ke.  
Sahi me besharmi karo to aisi. 
Thoo bai inpe aur inke jaiso pe. Kabhi nhi sudharenge ye. Inki soch me ki chotapan hai."
67,"Ye sb drama kr rahe the, inko bs chhut chahiye tha qualifying round se, that's it."
68,Trail se chut mil gyi inko lalchi ghtiya..trail k liye kuch b kr skti h ye
69,Mujhe cricket khelna hai chalo jantar mantar
70,Asli baat yogrshwar ki tumna gool maar di
71,"Saale Teri aukaat kya hai,,, unhone olympic mai medal Jeeta hai,, tu district mai bhi Jeet ke bta de,, baat ke kra hai, pagal"
72,Jaka dekh pura desh inka sath ha
73,Doshi to sarkar dwara bachaye jaa rhe h to kaise doshi bn skte h.... Padhe likhe........ 😂
74,Muje doubt h kyoki ye andolan kahi se lg nahi raha tha.
75,Inko bas trial se chhut chahiye thi mil gayi dharna khatm pati patni sahit puri faugat family qualify ho gye...
76,Sab propogenda faila rahi hai hai…jab inke sath hua tab complaint nhi ki ab yaha tamasha kar rahi hai
77,Amit shah se meeting ke baad kuch to hua hai🧐
78,Ha ha ha ha ha
79,Ye 6 pahalwan Bhasma-sur hai ....junior ke right khaa rahe hai.
80,*आन्दोलन ऑरगोनाईजर* द्वारा संचालित था क्या  आन्दोलन  ?
81,❤❤❤
82,बाबा जी का ठुल्लू!
83,​@Chaudhary Mitulor chalo dala to ye ho gaya to fir ye bhi bada do ki dalli kon hue apke hisab se ???
84,"​@Chaudhary Mitulor ese to Brij Bhushan 6 baar election jeeta hua hai fir to Brij Bhushan acha banda ho gaya agar Election ke basis par person ko dekh rahe ho to.
Or ese hi Atiq bhi acha banda ho gaya agar election me jeetne ke purpose se dekh rahe ho to."
85,"​@Chaudhary Mitulkyon Bhai ese word kyon uske liye ??? Kya usne desh ke liye medal nahi jeete kya??
Ya fir sab kuch yahi hai apke liye Jo andolan me bethe the???"
86,Dalla 😂😂 nambar 1 hai yogeshwer 2 baar bjp se lad ke har gaya 3 baar harenga
87,"एक तो इनकी बेचारे दिखने वाली ये फोटोज plz हटा दो, ये हमारे दबंग पहलवान हैं

देखा कैसे अपनी बात मनवा ली आंदोलन करके और सिर्फ ये लोग सच्चे है और बाकी झूठे, इनके medal original हैं और योगेश्वर दत्त, दीपक पूनिया जो ओलंपियन और वर्ल्ड कप गोल्ड मेडलिस्ट हैं. रवि दहिया ने ओलंपिक और वर्ल्ड कप दोनों में मेडल जीते हैं. अंशु मलिक, सोनम मलिक ,सरिता मोरे, अंतिम पंघल इनके medal नकली हैं और भारत सरकार ने दिलाये थे 
और वाह रे govt सिर्फ इन 3+3 को छूट दी"
88,"@dil k alfaaz are oh Bhai National level ke Nay Nay player har saal teyar hote hai.
Junior ko mauka Dena band kar de kya???
Mtlb tumhe sirf itna samgh nahi aa raha hai kya ki games me sab barabar ho kar khelne chaiye.
Or inke level ke or bhi kai pahalwan hai to sirf chhut sirf inko hi kyon???"
89,​@Pardeep Sharmavo log national champion h trial kitni hi bdi baat hogi unke liye ...thoda to dimag lgao
90,"​@sunil rehniwalfir khul kar kyoki nahi kaha inhone ki hume trail me special treatment nahi chaiye.

Khud se mana kar dena chaiye tha ki hume trail me chhut nahi chaiye.

Jabki inke phle ke interview me inhone saaf kaha hua hai ki trail na karaye jaye humse itne"
91,न्यूज़ तो पुरा सुन लो
92,छुट नही मांगी समय मागा
93,Bhagwan v uper se dekh rha h tmko dimag dena bhul gya
94,brij bhusan ka bhusan kat do🤣🤣🤣
95,Farzi case... Aaj kal adhiktar mahila fake case lagane me expert ho gyi hai..
96,Trial me chhut chaiye thi isliye hi Dharma tha or govt ne ye demand poori kar di hai inki.
97,Bhai unko trail me chut mil gai hai Unko yahi chahiye tha
98,Trail mil to gyi
99,Muhammad ne safiya ke sath kya kiya???
100,Muhammad ke raj me 6 saal ki ladkio ki shadi hoti thi vo Rajya bhi kesa hoga tir😂😂
101,kaash sare puncture putro ki freedom of speech k naam p propaganda failane ki azaadi bhi khatam kr de BJP.
102,Pahalwano Dharna khatam mat karo Lund Namaziyo ko bahut ummid hai tumse Kahi Dukh me Lund Namazi Puri Lulli hi Naa kaat le 😀😀
103,Kisano ko msp mil gai ab apke wade poore honge........
104,Manthra is happy now😂
105,Bas... Nikal gayi hawa.😂
106,Funding band ho gayi bs khatam pradarshan
107,मतलब प्रोपगेंडा था फेल हो गया 💯☑️
108,"​@sunil rehniwalइनके पास कोनसा प्रमाण है, योन शोषण का,"
109,​@Chaudhary MitulAgar aarop sachche hote toh voh ladai krti lekin isko piche se paise khilwae the abhi pta chl gya he
110,Oh 😂😂 andhbhagat 🤣🤣 sarkar bjp ki pais congress paisa dengi ed cbi kha gayi fir 🤣🤣
111,Kya evidence hai tumare pass 😂
112,Abe sale wahi to bol raha hu 😂😂😘
113,सबको पता है इनके पीछे 17 विपक्षी दल हैं मोदी सरकार को गिराने के लिए ही ये फेक प्रोपोगेंडा किया गया 🙄🙄🙄
114,Mudi hai toh mumkin hai 😊😊
115,Janajr
116,What so sad video
117,Pooor them😢😢😢😢
118,Yelog pura duniya me india ka naam roushan kiya h  or inlogo k sath aysa bartao wo v khud k izzat ko surakshit rakhne k liye ye log utre the but chiiii is sarkar ko.
119,Bc fuddu police punhab ayo tuanu dsde aa kida hath payida saleo kudi nl jyadti krde fuddu govt
120,I am very shameful to see this video Jo women and men wrestler Hamare Desh Ke Liye Olympic gold medal Jeet ke a rahe hain unke Sath Itna bura ho raha hai unhone Olympic medal jitne Hamara Desh Ka Naam Roshan Kiya Ham unke Sath Aisa kar rahe hain shameful to see this video very very simple
121,Is topic ko aaise ignore Kiya jaraha hai jasie kuch huva he nahi  !
122,Bad example is created by the govt always will be remembered😮
123,😃😃😃😃😃
124,Wah maja aa gaya kutto ko gasit ke hataya gaya😂😂😂
125,Chandra shekhar ko pm banao tab sab badlega
126,First time modi per gussa aarha h ....buddya nikal rhi h ......inka bhi nash hoga ek din....bhagwan shukh dete hain Paisa dete hain lekin Jo iski kadar nhi krta usse bhot jaldi uski aaoukat bhi dikha dete hain.....
127,Shame on gov
128,😢
129,My dream is to be a footballer but I  born in India 😢
130,Acha hua 🚩
131,"Shaheen bag ke waqt hans rahe the aur aaj ro rahe ho.
Waqt sab ka aata hai"
132,Hii
133,"Desh ki shan hai khiladi par modi ji  ko apani  garaj ke hisab se baat karni hai 
....
Ye hi khiladi hai jo medal laye the tb modi ji Bolte  ye to meri femily hai par aaj duniya me jitna desh ka naam ho raha hai utna hi kharab  .


......


Plzzz shopport our chempiyans 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏"
134,"Dekho yaar hamere ladies police bhi desh ki sherani h,keval pahalwan ladkiya nhi"
135,Shame shame
136,ਇਹ ਹੈ ਇੱਜ਼ਤ ਔਰਤ ਦੀ ਇਡਿਆ਼ ਵਿੱਚ
137,This is india i mean randistan Salo dosro ky desh mein bolny sy phly Aurat ke ezat krna sekho bsdk lant aise government py
138,Shem on uh😢
139,Kitni sharam ki baat hai bhai
140,How slim female police is trying to stop agitation and trying their best to arrest the OLYMPIAN GOLD MEDALISTS WRESTLERS. 😂  **SYESTEM   CREATING    ALL   DRAMA   TO GIVE   LONG   TERM    BENEFIT   TO    BJP. 😂😂😂😂😂
141,Ab bhi sharam nhi aa rhi PM ko😡😡😡😡
142,Janta ki Adalat 🖤✖️®️✖️
143,"In india talent's is waste thats the  sad reality
I hope if i had a rebirth i dont want to be indian"
144,Ye hai bjp ki sarkar hmare desh ke wrestlers ko kaise gasita ja rha h 😓😓😓
145,Hm smjhty thy pakistan mn foj hmn marti h 😂😂😂😊
146,A sahi trika hai femus hone ka.aur bina trial diye olampike khelne ka.
147,Its india no matter who you are 😢
148,Shame on you bjp modi
149,If you want to support terriosts vote for congress
150,Wahhhh...Mera Bharat ......mahaaaaaaaan
151,what is happening here please someone explain me
152,Shame!!!
153,I'm big supporter of current gov 🙏🙏🙏🙏
154,BJP hai to mumkin hai😂😂😂😂
155,Modi raj zindabad😂😂😂
156,"राजनीति में  झूट बहुत है
आदर कम है लूट बहुत है"
157,Ab sach m lag rha h Bharat m mahilao ki respect nhi hoti.  In respected wrestler ne hamare desh k liye mehnat kar k gold laye h please respect 🙏🙏🙏
158,Olympic medal jeeta iska matlab ye nhi ki logo ko manipulate karke politics mei enter kar le
159,Desh khatre mein hai
160,Wow itne police protest ko rok rahe hai itne log kaha the jab khule aam madar huya shakshi ka
161,Ye indian kuttun ki okaat hy jo larki k rights ki batain krte hn
162,And Indians say that they are proud of themselves ...woww
163,Ek tharaf hamari new parliament ka shubh aarambh hua ha bahi ye hamare des ke world most precious sports players ke satha kya ho rha ha bahi yha ek agar tik tok ya reel walae star hote to sab apni story or bhi bohot kuch karte but abhi nhi kaenge
164,Khud apni bezati karane pe lagi hai...unko khud uth le chalna chahiye tha aur akad ke bolna tha ki don't u dare to touch us.....to kisi ki himaat na hoti ghaseetne ki..😑
165,Desh Ki Beti Hoon ke sath kya ho raha hai BJP ke Raj mein😔😰😥😢😭
166,Media wale be like : content nhi jana chahiye 😂
167,Jagjao Gandvo ib bhe salo ak thari bhana. Gel bhe nu hoga jb jago ge .😢
168,If the same thing happened to cricketers the social media would have been on fire
169,Please stop voting for BJP. BJP will destroy this country.
170,Bjp 🖕
171,😢😂😂😂
172,😂😂😂😂😂😂😂
173,Dilli kisi v cheez k liye safe nhi j
174,"The world no 1 democratic country ', non of the indians should comment proud to be an indian in any video after this"
175,From this incident non of the indians should comment about any western countries and their problem
176,Ye bahut galat ho raha h
177,Shame shame shame...i just want to leave this country
178,"Chaar gali likkne ka mann kr rha hai police walon ko,  shame on Delhi police & BJP govt,  2024 me dekhte hai kaise tmhari jeet hogi..🤬"
179,Shame on lindus☕😂😂😂
180,wa kya beti bachau seen hai agar me hota na waha pe to me in dalali police ko hi mar ta aur sikha ta ki tere ko desh jaanta ko rakhsa kar ne ke liye bana ya ye bardi kyu diya hai
181,These is India the face of indian government
182,Delhi is capital u fool 😂 Capitol me hamesa rulling party ka hi raaj chalta he jo ki bjp ke😂
183,Delhi police and government  👎
184,Bjp neta bijbhusan raped this girls
185,"Dude what is this are these girls mad. 
This is no way one should behave . If you want justice then you also need to cooperate. 
I really was supporting them but the way they are behaving is not praiseworthy."
186,"in 2020 tokyo olympics,  China got 38 gold medals and India only 1 
thanks to govt."
187,Ye sb ho kyaa rha h muje to smjh ni aaya😑
188,Who is in the orange t
189,Gheen aa Rahi hai mujhe aisi sarkar se ye sarkar kisi ki nhi mujhe lagta tha ye sirf musalmano ka dushman hai bt Aisa nhi hai ye sirf apna fayda sochte hain or baki logo me khoon kharab chahte hain
190,"Wtf
How they can treat a sportsmen like this😓"
191,Shame on bjp government this happened with everyone soon if Indian not take any action to change this bjp government
192,Shame on our government
193,"రాజ్యాంగబద్ధ ప్రజాస్వామ్య హక్కులను అణచివేయడానికి,

ఇది ప్రభుత్వం చేస్తున్న గుండా గిరి నేరం కాదా ?

ఈ పోలీసు బలగాలను అక్కడకు పురమాయించిన అధికారులు రాజ్యాంగాన్ని దిక్కరించిన నేరస్తులు కాదా ?

ఈ వీడియో సన్నివేశ ఆధారంగా న్యాయవ్యవస్థ సుమోటోగా నేర విచారణ జరప వలదా ?.

న్యాయవ్యవస్థను ప్రజాప్రతి నిధి హోదాను కబ్జా చేసుకొని కూర్చున్న వారు, 

న్యాయవ్యవస్థను భయం ఆందోళనలు కలిగించి ప్రభావితం చేస్తున్న స్థితి లేకుండా, 

న్యాయవ్యవస్థ పూర్తి స్వేచ్ఛా స్వతంత్ర ప్రతిపత్తి కలిగి ఉన్నదా? 

ప్రజాప్రతినిధులుగా పాలన అధికారాలు చేపట్టిన వారి ఇష్టం వచ్చిన పురమాయింపులను, 

అమలు చేయటానికి ముందు, ఈ పురమాయింపు రాజ్యాంగ ప్రవేశిక సారాంశ బద్ధమై ఉన్నదా? ప్రతికూలంగా ఉన్నదా? 

అని పరిశీలించవలసిన బాధ్యత రాజ్యాంగ యంత్రాంగపు అధికారులకు లేదా?

ప్రజా ప్రతినిధులను సంతోష పరచటమా యంత్రాంగం అధికారుల బాధ్యత ?

యంత్రాంగంలోని ఉద్యోగులు, వారి అధికారులు, రాజ్యాంగబద్దులై,  విధులు నిర్వహించటం కోసమే కదా, 

వారికి జీతభత్యాలు వనరులుగా ప్రజాధనం ఇస్తున్నది ?

రాజ్యాంగ ప్రవేశిక సారాంశానికి న్యాయం చేయకపోతే,l ఎందుకోసం ఇస్తున్నట్లు ?

కాలేజీకి వెళ్లే అమ్మాయికి బాడీగార్డు విధులకు నియమించ బడిన వ్యక్తులు,   

రేప్, ఈవ్ టీజింగ్ చేసే వారిచ్చే తాయిలాల కోసం, లేదా వారి దాదాగిరి, దార్కారీలకు లొంగిపోయి వారిని సంతోషపరచటానికి,

ఈ సన్నివేశం, ఆ అమ్మాయికి మద్దతుగా స్పందించిన  సోషల్ ఆక్టివిస్టులను నిరోధిస్తున్నట్లు  ఉన్నదా ? లేదా  ?"
194,Shame on the gov and police
195,Thu thu thu hai in sab par aisi ghatiya sarkar par ab dar lgne lga hai ki is darti par  surakshit bhi hai ki nhi hum log jb inka ye haal hai jinone apna jivan desh ko de diya to hum jaise aam logo ka kya hoga bhagwan  yhi samya hai aavtar lo darti par aur ktm kardo ye buraai
196,Shame on bjp and chokidar
197,Toot gaya Hindustan
198,Andhbhakt 😢
199,😢😢😢
200,BJP ONGOING ON LAST STAGE IN POLITICS
201,Andbhakts are proud of their supreme leader modi 😂
202,Where is Ritu
203,This is how they treat our WRESTLERS 💜May the champions get the justice they deserve 😢
204,No one like our country
205,Drama
206,Sarkar pe dikkar hai yar gold medal  ke sath aisa ho raha ... yar sarkr baith kar bat q nhi karti agar sahi hai to sarkar q bag rahi hai gin aati aaise sarkar aise  kanun pe
207,kahan hai modi dalaal hai tu bolta hai bate pado bate bcho yeh kya hai thats how we treat our champion well done that's  what new india is every parties are fucked up shame on india it a suffocation  to live in such place
208,https://youtu.be/LZo-U8SGBTc
209,https://youtu.be/LZo-U8SGBTc
210,Sabr rak....sab thik hoga... Dek lena..
211,Shame on bjp gov.🤮🤮🤮🤮
212,Sab dikhava hai itni charbi chadi hai pahalvan banne ki to jao pakisatan bordar par atankvadiyo ko maro tab mane desh ka naam roshna kiya
213,Shame on you PM. And your Mp
214,Why😂 modi is viswa guru 🤡🤣😂
215,Bloody shame. How can our government treat our sportsman like this? And still they are keeping silence.
216,😢😢😢😢
217,Abe yea toh kuch bhi nahi 😂 bjp ka neta apne phone ko retrieve krne ke liya dam se pura pani nikal deta he 😂🤣
218,"Krdo Raam ko bhi badnam. 
Ye rss aur bjp ek din kutte ki maut maregi.
Aur kha ram 👆  ko itni dirty politics se mt match kro .
Ye chilla k jai shree ram bolte h aur 
Yei hijde darbaar me biryaani khate h .
🤮 aiso ko shaitaan bhi bhagat na bnae.
Jo sbse bade 🥩 beef factory 🏭 h 
Wo bhi jai shree Raam wale ..
But ..
.......  spiritually is 🙌🙌 most divine 
My father is Krishna......my father is ram"
219,Ye h hamare desh
220,Jesus is live
221,Disgusting
222,😢😢😢😢😢
223,Kesi police h ye .👎👎
224,POGHAT sisters ka PLAN POPAT hogaya ...FAKE EVIDENCE ...Tote ki tarah sara plan Ugaldiya...Sabkuch POGHAT family ka plan tha...Ab hogaya flop
225,What is happening
226,Vinish poghat now she dont hve any base for the protest ..her political and Sports carrier both screwed up...😅😅😅😅
227,"BJP rapist..... Shame on Modi.. 
Shame on Delhi Police..."
228,"Shame on PM... 
Shame on Delhi Police"
229,Bjp getout india
230,Peaceful cow community🤣
231,Shame on govt
232,Ab kahan gaye vo Delhi ki tarif krne wale?
233,Shame on Delhi
234,Delhi hai hi aisi jagah waha na humesha ladkiyon ke sth hi nahi ladko ke sth bhi glt hone ki khabar ati rhti hai no one is safe thr
235,"Innocent people through out India has been treated like animals, who is the master mind?"
236,"Sharm karo modi ki maa ,aapne mauga ko paida kiya hai"
237,Police wale ka bhi zameer mar gaya hai
238,Shame on our system how they treat  a women
239,"Thuu సిగ్గు లేదు పోలీస్ వాళ్ళ కి ఏది మంచి ఏది చెడ్డ తెలియడం లేదు. Shemless. మోడీ గాడు down, down, down వీడు చీత్తు, చీత్తు గా ఓడి పోవాలి"
240,Kya ho gya is deshavaasiyon ka 😢 ?
241,Bhai isiliye indai ke pass itne jyada medals h
242,We want justice
243,What were they protesting about?
244,Shame On Kejruiddin
245,Police ☕☕
246,SHAME ON INDIA!!!!!!!!!!!!!!!!!!!!!!!!!
247,Its still a subjective to declare . who is the culprit because there is no clear evidence. I think police are doing their job  and the situation is rightly handled by police as their duty.
248,"Good Job 👏😎
...THESE Khalistani deserve good treatment 🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿
Respect 🚩🚩🚩🚩🚩🚩🚩🚩🕉️🕉️🕉️🕉️🕉️🕉️🕉️🕉️🕉️🕉️🕉️🕉️"
249,MC hai modi sala bas tax laga rha Hindu Muslim me ladai krva rha hai andar se bharat ko khokla kr rha
250,Biggest shame on Modi 😶🤬
251,those cops are so skinyyy l0ollllllllllllllllll they nmever get hired in USA hahahahaha
252,Very bad image very shameful for our nation.this is not happened ever before 20 years in my life.
253,😢😢😢😢🎉
254,Down down down modi
255,"Kitna paisa khaya hai, rapist ki ga*nd chatne ka"
256,Abbe hindi bol na nahi aata hai kay
257,😢😢😢😢😢
258,"Such a Shame to great INDIA,NEver seen or heard of sportsmen treated these way"
259,Shame on you
260,"In policewaliyo ke sath bhi aisa hi ho,
aur us din inki bhi koi naa sune."
261,"Shame on Delhi police a wrestler is treated like this and we will not give vote to bjp next time I the party is not able to see his member  
Mistake shame on democracy  that a girl don't have right for raising her voice than what is meaning of democracy  and the girl is a wrestler not any simple"
262,Tum lok India ke ho ya Pakistan ki ukrean me fight ke time p jo bharat ke jhanda lekhe rahega aur bharatiye bol3ge unko sahidhilamat Ghar pe chod Diya jayega bol rahe the lekin ye hamare desh me hi Jo bharat ke jhande pakde hue hai unko aise bhlyabhahar mereko tho thik Nehi lagta upar se ye log international level pe bhart ko represent karte hai dhik hai tumhare jiban par dilhi police. U don't have humanity and at last I want to say best of luck keep it up and aise hi karte raho police is for people is proven wrong by you u all are for the politicians and the rich mans others always get punished by you chi chi.
263,Aaj agr Ghandhi ji zinda hote aur yh dekhte to unhe bda afsos hota ki jis desh ki san maan ko unhone apne khoon se banaya ....aj usi bharat mata ke desh me usi ke bacchi ke sath asa ho rha h....bhagavan un delhi police ki atama ko kbhi santi .mt de
264,Cm se pm tak sab harami hai
265,Ye bahut kharab bat hai. Apradhi ko bachane ke liye Apne India ke players ko sata rahe hai. Unhe nyay dene ke badale yeh saja. Galat bat hau
266,I will never vote for BJP after watching this😢😢😢
267,"North people you needed this..... beacuse you choosed  BJP  ....take the consequences 

In Tamilnadu bjp fukkkl👹👹👹👹👹👹👹👹"
268,"This is a reality of Government , whole world are same you.. and our PM  travel a world tour.."
269,Vinesh fogat ki notanki
270,"😢😢 are country very waste please save
 the girls 😢😫"
271,बेटी बचाओ। बेटी बचाओ। एक बेटी के साथ इतने लोग। मर जायेगी। छोड़ दो एक तुम इतने सारे
272,It's their fault... They should have kept in mind that this is india.... Where nonsense are entertained but some serious issue are denied
273,India will never become like foreign country
274,Please respect humanity
275,Bhaisaab ladies police bhi nhi he unka to touch karne ka bhi hak nhi he lekin ye to bahut galat ho raha he 😮
276,Modi gov shame on you
277,Aaj mai bahut dukhi hu ye dekh ke ki jo. Log desh ka name roshan kiye bahar jaker unke sath aisa ho raha hai 😥😥😥😥 jo log power mai plz enka shath digiye enke shath aisa nahi hona chahiye plz
278,😥😥😥😥😥😥😥aisa mat karo aap log ye woman's ke  liye hi lad  rahi hai koe aap log bhi beti hai kisi ki plz aisa mat kariye
279,It's really shameful how they treat 😢
280,"Really shame on police  ,, my god this country is messed up .."
281,All politics
282,What is mean by police
283,india is developing very well
284,proud to bean indian
285,"This time I'll go with congress, enough of Lotus"
286,Really shameful thing did by police
287,It's very wrong😢
288,Life me des ke liye kuch karane pahele sochana padega
